edge_index,relative_resistance,ci_low,ci_high
0,0.9912688479,0.9835223274,0.9970699132
1,0.9994916010,0.9952475655,1.0040702070
2,0.9957991649,0.9920618471,1.0045547266
3,0.9999663161,0.9965577876,1.0059695595
4,1.0038710930,0.9970843084,1.0077351253
5,1.0000918793,0.9963147390,1.0062190813
6,1.0039463709,0.9973380024,1.0099930816
7,1.0041108061,0.9979608553,1.0079615747
8,1.0000336839,0.9925090761,1.0047000217
9,1.0005946249,0.9923215810,1.0042507790
10,0.9967296076,0.9860745006,1.0016120504
11,1.0008372582,0.9946398797,1.0042389514
12,0.9957819651,0.9940233866,1.0043400903
13,1.0026673577,0.9948404180,1.0052721458
14,0.9947377088,0.9862711890,0.9983857536
15,0.9985432861,0.9957967793,1.0059408428
