tx_index,scale,pct_dev_from_median,anomaly_flag,src_electrode,sink_electrode
0,0.0018923002,-0.481651,0,0,1
1,0.0018995668,-0.099487,0,1,2
2,0.0019007981,-0.034736,0,2,3
3,0.0019015032,0.002347,0,3,4
4,0.0019021213,0.034854,0,4,5
5,0.0019027705,0.068995,0,5,6
6,0.0019027494,0.067889,0,6,7
7,0.0019027399,0.067390,0,7,8
8,0.0019021836,0.038133,0,8,9
9,0.0019011145,-0.018095,0,9,10
10,0.0019166978,0.801453,0,10,11
11,0.0020083925,5.623789,1,11,12
12,0.0019014139,-0.002347,0,12,13
13,0.0018928327,-0.453646,0,13,14
14,0.0018778739,-1.240343,0,14,15
15,0.0018992156,-0.117958,0,15,0
